Evidence ID,Name,Type,Description,Typical Owner,Format
EV-001,Governance charter,Document,"Approved governance charter defining roles, decision rights, and scope.",Governance Authority,PDF/MD
EV-002,RACI matrix,Document,Role-to-responsibility matrix for ecosystem operations and escalation.,Governance Authority,XLSX/CSV/MD
EV-003,Policy change log,Log,Machine-readable log of policy/schema/registry changes with version identifiers.,Governance/Registry,JSON/CSV
EV-004,Decision log entries,Log,Signed/tamper-evident governance decisions with rationale and attribution.,Governance Authority,MD/JSON
EV-005,Registry publication metadata,Dataset,"Registry/list publication includes timestamp, provenance, and update cadence.",Registry Operator,JSON
EV-006,Registry signing keys & rotation record,Record,Key inventory and rotation events for registry signing keys.,Registry Operator,MD/JSON
EV-007,Issuer onboarding evidence,Record,"Eligibility checks, authorization, and onboarding approvals for issuers.",Issuer/Registry,PDF/MD
EV-008,Issuance audit trail sample,Log,Sample issuance events with subject binding and policy checks.,Issuer,JSON/CSV
EV-009,Revocation/status evidence,Dataset,Status list or revocation records demonstrating lifecycle management.,Issuer,JSON
EV-010,Verifier validation checklist,Checklist,"Verifier process showing checks for authorization, status, schema, policy.",Verifier,MD
EV-011,Incident runbook & escalation,Document,Operational incident response playbook and escalation paths.,Network Manager,MD
EV-012,Dependency inventory,Dataset,Inventory of critical dependencies with SLAs and fallback plans.,All roles,CSV/JSON
EV-013,Schema governance record,Record,"Schema versions, compatibility notes, and breaking-change documentation.",Governance/Registry,MD/JSON
EV-014,Dispute/redress procedure,Document,"Publicly accessible process for disputes and corrections, with timelines.",Governance/Registry,MD/PDF
EV-015,User disclosure text,Document,"Plain-language disclosures about trust signals, errors, and recourse.",All roles,MD
EV-016,Runtime decision receipt,Record,Structured record of a runtime decision including request; authority basis; policy; evidence inputs; verdict; and effect,Operator/Verifier,JSON/YAML
EV-017,Runtime policy evaluation trace,Log,Tamper-evident trace showing policy admission checks immediately before a runtime effect,Operator,JSON/Log
EV-018,Fail-safe behavior test evidence,Record,Test outputs proving deny/suspend/degrade behavior under stale or missing runtime governance inputs,Operator/Assessor,MD/JSON
EV-019,TSMM runtime governance projection,Record,Projection of actor effect boundary authority policy evidence status and audit expectation into executable runtime assurance artifacts,Operator/Verifier,JSON
EV-020,Authority boundary,Record,Bounded authority evidence preserving source delegation path scope lifecycle state and revocation obligations,Governance Authority/Operator,JSON
EV-021,Status-list reference,Dataset,Status or revocation reference showing active suspended revoked expired or unknown state and freshness metadata,Issuer/Registry Operator,JSON
EV-022,Trust Task execution receipt,Record,Runtime task receipt separating lifecycle state decision outcome and effect admission,Operator,JSON
EV-023,Integrity-bound evidence bundle,Record,Evidence bundle manifest with artifact inventory hashes canonicalization bundle digest proof or signature metadata,Assessor/Operator,JSON
EV-024,Registry publication profile,Record,Publication evidence showing discoverable artifact chain assurance posture and discovery-versus-authorization boundary,Registry Operator,JSON
EV-025,AIS-1 v0.2 bond verification package,Record,AIS-1 DID resolution registry status bond hash tier issuer sponsor agentClass parentDid and timestamp service evidence,Issuer/Verifier,JSON
EV-026,AIS-1 assurance container reference,Record,Versioned append-only attestation container reference including legal compliance audit valuation or government VC attestations where applicable,Issuer/Assessor,JSON
EV-027,AIS-1 SOA parent-chain and cascade revocation evidence,Dataset,SOA parent ALA status cascade revocation checks and negative-path outcomes for unavailable suspended or revoked parent state,Verifier/Operator,JSON
