control_objective_id,evidence_id,coverage_type,notes
CO1.4,EVID-0001,operational,"Demonstrates versioned governance changes and approvals"
CO2.1,EVID-0002,operational,"Shows periodic review of privileged access"
CO2.3,EVID-0002,design,"Supports segregation and least privilege controls"
CO3.8,EVID-0003,direct,"Preserves runtime authority source delegation scope lifecycle state and permitted effect context"
CO4.6,EVID-0004,direct,"Demonstrates evidence bundle integrity and reproducibility"
CO4.7,EVID-0005,direct,"Shows decision receipt fields needed to replay the runtime decision"
CO4.5,EVID-0005,operational,"Supports runtime decision traceability"
CO6.5,EVID-0006,direct,"Shows status freshness and negative-path behavior"
CO6.4,EVID-0006,operational,"Supports fail-safe runtime behavior"
CO4.8,EVID-0007,direct,"Shows AIS-1 v0.2 DID resolution registry status bond tier issuer sponsor and timestamp evidence"
CO3.9,EVID-0008,direct,"Shows SOA parent ALA status and cascade revocation handling"
CO6.6,EVID-0008,direct,"Shows fail-safe reliance behavior for AIS-1 parent revoked stale unknown or unavailable states"
