Control ID,Control Objective ID,Control Name,Control Description,Control Nature,Applicable Roles,Minimum AL,Evidence IDs,Test IDs,External Alignment (informative)
DCAS-CTRL-001,CO1.1,Governance charter + RACI published,"Maintain a governance charter and RACI that defines roles, decision rights, and escalation paths.",Preventive,Governance Authority,AL2,EV-001;EV-002,TS-001;TS-002,ToIP Governance Metamodel (informative)
DCAS-CTRL-002,CO1.2,Conflict-of-interest & independent review,Document COI policy and ensure major changes receive independent review by non-operator stakeholders.,Preventive/Detective,Governance Authority,AL2,EV-004,TS-004,Multi-stakeholder governance patterns
DCAS-CTRL-003,CO1.3,Tamper-evident decision logging,Record governance decisions and enforcement actions with attribution and immutable history.,Detective,Governance Authority;Registry Operator,AL2,EV-004,TS-004,NIST AU (informative)
DCAS-CTRL-004,CO1.4,Lifecycle state machine for changes,Implement proposal→approval→activation lifecycle with versions and rollback references.,Preventive/Corrective,Governance Authority;Registry Operator,AL3,EV-003,TS-003,SemVer + change control
DCAS-CTRL-005,CO2.1,Signed registry publication,Publish registry/list content with signatures and authorized publishers.,Preventive/Detective,Registry Operator,AL3,EV-005;EV-006,TS-005;TS-006,W3C Data Integrity (informative)
DCAS-CTRL-006,CO2.2,Provenance + cadence metadata,"Include provenance, timestamps, update cadence, and deprecation markers in publications.",Detective,Registry Operator,AL2,EV-005,TS-005,Supply-chain transparency
DCAS-CTRL-007,CO2.3,Dispute & correction workflow,Operate a dispute intake and correction process with timelines and public outcomes.,Corrective,Registry Operator;Governance Authority,AL2,EV-014;EV-004,TS-014;TS-004,ISO 10002 (informative)
DCAS-CTRL-008,CO2.4,Continuity objectives,Define availability targets and backups for registry services; test recovery periodically.,Preventive/Corrective,Registry Operator,AL2,EV-011,TS-011,ISO 22301 (informative)
DCAS-CTRL-009,CO3.1,Issuer authorization binding,Bind issuer authorization to registry listing and governance approval.,Preventive,Issuer;Registry Operator,AL2,EV-007;EV-005,TS-007;TS-005,Onboarding controls
DCAS-CTRL-010,CO3.2,Issuance event audit fields,"Capture issuance events with subject binding, policy checks, and signer attribution.",Detective,Issuer,AL2,EV-008,TS-008,NIST AU/AC (informative)
DCAS-CTRL-011,CO3.3,Status and revocation mechanism,Provide status/revocation mechanism with reliable propagation and deprecation policy.,Preventive/Corrective,Issuer;Registry Operator,AL2,EV-009;EV-003,TS-009;TS-003,Credential lifecycle
DCAS-CTRL-012,CO3.4,Verifier validation checklist,"Verify issuer authorization, schema conformance, and status before acceptance.",Detective,Verifier,AL1,EV-010,TS-010,IA controls (informative)
DCAS-CTRL-013,CO4.1,Consent prompts + records,Present user consent prompts and retain minimal audit of consent choices.,Preventive,Holder/Agent,AL1,EV-015,TS-015,UX safety
DCAS-CTRL-014,CO4.2,Delegation boundaries in policy,Define delegated authority boundaries and detect violations via monitoring or logs.,Preventive/Detective,Holder/Agent;Network Manager,AL2,EV-003;EV-011,TS-003;TS-011,Least privilege
DCAS-CTRL-015,CO4.3,Operational monitoring + escalation,"Maintain monitoring and escalation playbooks for outages, abuse, and policy violations.",Detective/Corrective,Network Manager,AL2,EV-011,TS-011,SRE practices
DCAS-CTRL-016,CO4.4,Plain-language recourse,Publish plain-language recourse guidance and error messaging conventions.,Corrective,All roles,AL0,EV-015;EV-014,TS-015;TS-014,Human-centered security
DCAS-CTRL-017,CO5.1,Key inventory + rotation,Maintain key inventory; rotate keys; define compromise response.,Preventive/Corrective,Issuer;Registry Operator,AL2,EV-006;EV-003,TS-006;TS-003,NIST 800-57 (informative)
DCAS-CTRL-018,CO5.2,Algorithm agility policy,Document accepted algorithms and deprecation policy; verify implementations comply.,Preventive/Detective,Verifier;Registry Operator,AL2,EV-003,TS-003,Crypto agility
DCAS-CTRL-019,CO5.3,Crypto event audit,Log signing/rotation/revocation events with attribution.,Detective,Issuer;Registry Operator,AL2,EV-006;EV-008,TS-006;TS-008,Audit logging
DCAS-CTRL-020,CO6.1,Dependency inventory + SLAs,"Maintain dependency inventory with owners, SLAs, and fallback plans.",Preventive,All roles,AL1,EV-012,TS-012,ISO 27036 (informative)
DCAS-CTRL-021,CO6.2,Schema SemVer + breaking-change notes,Version schemas; publish compatibility notes; document breaking changes.,Preventive,Issuer;Verifier;Registry Operator,AL2,EV-013;EV-003,TS-013;TS-003,SemVer
DCAS-CTRL-022,CO6.3,Periodic control effectiveness review,Run periodic reviews of incidents and control effectiveness; log actions.,Corrective,Governance Authority;Network Manager,AL2,EV-004;EV-011,TS-004;TS-011,Continuous improvement
DCAS-CTRL-026,CO3.9,AIS-1 SOA parent-chain validation,Verify AIS-1 v0.2 SOA parent DID resolution parent ALA status and cascade revocation behavior before accepting the SOA as an accountability input.,Preventive/Detective,Verifier;Assessor,AL2,EV-025;EV-027,TS-024;TS-026,AIS-1 v0.2 SOA governance
DCAS-CTRL-027,CO4.8,AIS-1 v0.2 evidence package review,Require DID resolution registry status bond hash tier issuer timestamp service and assurance-container evidence where applicable.,Detective,Assessor;Verifier,AL2,EV-025;EV-026,TS-024;TS-025,AIS-1 v0.2 verification flow
DCAS-CTRL-028,CO6.6,AIS-1 cascade revocation and fail-safe handling,Demonstrate downgrade denial or review behavior when AIS-1 bond state parent ALA state registry state or timestamp evidence is stale revoked unknown or unavailable.,Preventive/Corrective,Operator;Verifier,AL2,EV-027;EV-018,TS-026;TS-018,AIS-1 v0.2 revocation finality
