Risk Domain,Risk ID,Risk Statement,Cause,Consequence,Likelihood,Impact,Inherent Risk,Controls,Residual Risk,Owner
Governance,G1,Policy drift,Decentralised autonomy,Fragmentation,Medium,High,High,Policy harmonisation,Medium,Governing Authority
Governance,G2,Governance capture,Power concentration,Loss of legitimacy,Medium,Critical,Critical,Multi-stakeholder checks,High,Admin Authority
Governance,G3,Decision latency,Slow processes,Operational delays,Medium,Medium,Medium,Time-bound escalation,Low,Gov Council
Governance,G4,Role ambiguity,Weak design,Accountability gaps,Medium,High,High,Clear RACI,Medium,Gov Authority
Governance,G5,Opaque decisions,Poor logging,Regulatory risk,Medium,High,High,Transparent logs,Medium,Admin Authority
Identity,ID1,Ambiguous identity models,Lack of definitions,Inconsistency,Medium,High,High,Normative profiles,Medium,DTGWG
Identity,ID2,Weak onboarding,Poor KYC/KYB,Fraud risk,High,High,Critical,Strong verification,Medium,Entity Admin
Identity,ID3,Delegation misconfig,Ambiguous policy,Rogue agent actions,High,Critical,Critical,Delegation registry,High,Network Managers
Identity,ID4,Lifecycle mismanagement,Missing deactivation,Ghost identities,Medium,Medium,Medium,Lifecycle governance,Low,Identity Admin
Identity,ID5,Behavioural opaqueness,AI nondeterminism,Misleading decisions,Medium,High,High,Interpretability tooling,Medium,AI Providers
Schemas,S1,Semantic divergence,Flexible schema,Interop failure,High,High,Critical,Canonical registry,Medium,DTGWG
Schemas,S2,Schema collisions,Uncoordinated upgrades,Validation errors,Medium,High,High,Version negotiation,Medium,Standards Body
Schemas,S3,Under-specification,Incomplete requirements,Unsafe implementations,Medium,High,High,Mandatory profiles,Medium,Standards Council
Schemas,S4,Over-specification,Feature creep,Low adoption,Medium,Medium,Medium,Lean standards,Low,WG
Schemas,S5,Model drift,Domain change,Schema invalidity,Medium,Medium,Medium,Periodic reviews,Low,DTGWG
Network Managers,NM1,Trust graph manipulation,Biased policies,Unfair ranking,Medium,Critical,Critical,Audits,High,Community Managers
Network Managers,NM2,Misissuance by orgs,Weak checks,Contamination,Medium,High,High,Issuer accreditation,Medium,Credential Board
Network Managers,NM3,rCard lifecycle failures,Stale relationships,Privacy leakage,Medium,High,High,Lifecycle API,Medium,Personal Manager
Network Managers,NM4,Storage misconfig,Weak encryption,Breach,Medium,Critical,Critical,HSM storage,Medium,Tech Providers
Network Managers,NM5,Policy drift across communities,Uncoordinated governance,Interoperability issues,Medium,High,High,Governance sync,Medium,Community Council
Credentials,C1,Credential misissuance,Human error,Fraud propagation,High,High,Critical,Issuance policy,Medium,Issuer
Credentials,C2,Misbinding,Weak binding checks,Wrong entity assignment,Medium,Critical,Critical,Binding proofs,Medium,Issuer
Credentials,C3,Revocation failures,Poor registry sync,Stale creds,Medium,High,High,Real-time revocation,Medium,Registry Admin
