Risk ID,Category,Risk Statement,Cause,Consequence,Owner,Likelihood,Impact,Inherent Risk,Controls,Control Objective IDs,Residual Risk
G1,Governance,Policy drift,Decentralised autonomy,Fragmentation,Governing Authority,Medium,High,High,Policy harmonisation,CO1.1,Medium
G2,Governance,Governance capture,Power concentration,Loss of legitimacy,Admin Authority,Medium,Critical,Critical,Multi-stakeholder checks,CO1.2,High
G3,Governance,Decision latency,Slow processes,Operational delays,Gov Council,Medium,Medium,Medium,Time-bound escalation,CO1.4,Low
G4,Governance,Role ambiguity,Weak design,Accountability gaps,Gov Authority,Medium,High,High,Clear RACI,CO1.1,Medium
G5,Governance,Opaque decisions,Poor logging,Regulatory risk,Admin Authority,Medium,High,High,Transparent logs,CO1.3,Medium
ID1,Identity,Ambiguous identity models,Lack of definitions,Inconsistency,DTGWG,Medium,High,High,Normative profiles,CO3.1,Medium
ID2,Identity,Weak onboarding,Poor KYC/KYB,Fraud risk,Entity Admin,High,High,Critical,Strong verification,CO3.1,Medium
ID3,Identity,Delegation misconfig,Ambiguous policy,Rogue agent actions,Network Managers,High,Critical,Critical,Delegation registry,CO4.1,High
ID4,Identity,Lifecycle mismanagement,Missing deactivation,Ghost identities,Identity Admin,Medium,Medium,Medium,Lifecycle governance,CO3.3,Low
ID5,Identity,Behavioural opaqueness,AI nondeterminism,Misleading decisions,AI Providers,Medium,High,High,Interpretability tooling,CO4.2,Medium
S1,Schemas,Semantic divergence,Flexible schema,Interop failure,DTGWG,High,High,Critical,Canonical registry,CO2.1,Medium
S2,Schemas,Schema collisions,Uncoordinated upgrades,Validation errors,Standards Body,Medium,High,High,Version negotiation,CO2.4,Medium
S3,Schemas,Under-specification,Incomplete requirements,Unsafe implementations,Standards Council,Medium,High,High,Mandatory profiles,CO2.1,Medium
S4,Schemas,Over-specification,Feature creep,Low adoption,WG,Medium,Medium,Medium,Lean standards,CO1.4,Low
S5,Schemas,Model drift,Domain change,Schema invalidity,DTGWG,Medium,Medium,Medium,Periodic reviews,CO2.1,Low
NM1,Network Managers,Trust graph manipulation,Biased policies,Unfair ranking,Community Managers,Medium,Critical,Critical,Audits,CO4.2,High
NM2,Network Managers,Misissuance by orgs,Weak checks,Contamination,Credential Board,Medium,High,High,Issuer accreditation,CO3.1,Medium
NM3,Network Managers,rCard lifecycle failures,Stale relationships,Privacy leakage,Personal Manager,Medium,High,High,Lifecycle API,CO3.3,Medium
NM4,Network Managers,Storage misconfig,Weak encryption,Breach,Tech Providers,Medium,Critical,Critical,HSM storage,CO2.3,Medium
NM5,Network Managers,Policy drift across communities,Uncoordinated governance,Interoperability issues,Community Council,Medium,High,High,Governance sync,CO1.1,Medium
C1,Credentials,Credential misissuance,Human error,Fraud propagation,Issuer,High,High,Critical,Issuance policy,CO3.2,Medium
C2,Credentials,Misbinding,Weak binding checks,Wrong entity assignment,Issuer,Medium,Critical,Critical,Binding proofs,CO3.2,Medium
C3,Credentials,Revocation failures,Poor registry sync,Stale creds,Registry Admin,Medium,High,High,Real-time revocation,CO3.3,Medium
C4,Credentials,Verifier overreach,Poor UX,Data exploitation,Verifier,Medium,Medium,Medium,Selective disclosure,CO3.4,Low
C5,Credentials,Protocol downgrade,Adversarial forcing,Weak verification,Verifier,Low,High,Medium,Protocol enforcement,CO3.4,Low
CR1,Cryptography,Key leakage,Weak storage,Systemic compromise,Tech Provider,Medium,Critical,Critical,HSM,CO2.3,Medium
CR2,Cryptography,Weak entropy,Bad RNG,Key vulnerability,Crypto Maintainer,Low,High,Medium,Entropy validation,CO2.3,Low
CR3,Cryptography,Registry poisoning,Malicious writes,Graph corruption,Registry Admin,Medium,Critical,Critical,Signed entries,CO2.1,Medium
CR4,Cryptography,Side-channel leaks,Hardware flaws,Data inference,Infra Provider,Low,High,Medium,Mitigation guards,CO2.3,Low
CR5,Cryptography,Unbounded registry growth,Poor pruning,Performance issues,Registry Admin,Medium,Medium,Medium,Archiving policies,CO2.2,Low
AI1,AI Agents,Hallucinated decisions,LLM unpredictability,False trust actions,AI Providers,Medium,High,High,Policy constraints,CO4.2,Medium
AI2,AI Agents,Model poisoning,Malicious supply chain,Compromised decisions,Model Provider,Medium,Critical,Critical,Signed models,CO4.3,Medium
AI3,AI Agents,Over-autonomy,Weak scoping,Unintended actions,Agent Owner,Medium,Critical,Critical,Kill switches,CO4.4,Medium
AI4,AI Agents,Adversarial inputs,Hostile prompts,Misleading outputs,AI Security,Medium,High,High,Input sanitisation,CO4.2,Medium
AI5,AI Agents,Recursive agent behaviour,Improper looping,Runaway operations,Agent Owner,Low,High,Medium,Rate limiters,CO4.4,Low
EX1,External,Marketplace malicious inputs,Unvetted assets,Ecosystem contamination,Marketplace Admin,Medium,High,High,Sandboxing,CO4.3,Medium
EX2,External,Cross-policy incompatibility,Governance mismatch,Interop breaks,Gov Council,Medium,Medium,Medium,Policy negotiation,CO6.1,Low
EX3,External,Regulatory volatility,Frequent changes,Compliance overhead,Compliance,Medium,High,High,Legal monitoring,CO1.1,Medium
EX4,External,Jurisdiction conflicts,Different legal regimes,Enforcement issues,Regulatory Affairs,Medium,Medium,Medium,Legal harmonisation,CO1.3,Low
EX5,External,Utility failure,Infra outage,Ecosystem downtime,Infra Provider,Low,Critical,High,Redundancy,CO2.2,Low
HX1,Human Experience,Low digital literacy,Complex flows,Incorrect usage,UX Team,High,Medium,High,Assisted flows,CO5.2,Medium
HX2,Human Experience,Digital exclusion,Access barriers,Unequal participation,Gov Council,Medium,High,High,Multi-channel access,CO5.2,Medium
HX3,Human Experience,Cognitive overload,Poor UX,Drop-offs,UX Team,Medium,Medium,Medium,Simplified flows,CO5.2,Low
HX4,Human Experience,Consent ambiguity,Bad UI,Uninformed decisions,UX + Legal,Medium,High,High,Clear consent screens,CO5.1,Medium
HX5,Human Experience,Trust graph bias,Biased data,Discrimination,Community Managers,Medium,High,High,Fairness audits,CO5.3,Medium
SYS1,Systemic,Cascading credential failures,Misissuance,System collapse,Ecosystem Authority,Medium,Critical,Critical,Circuit breakers,CO6.2,Medium
SYS2,Systemic,Feedback loop polarisation,Graph reinforcement,Polarisation,Governance Council,Low,High,Medium,Stabilisation policy,CO6.3,Low
SYS3,Systemic,Orphan entities,Lifecycle neglect,Ghost graphs,Identity Admin,Medium,Medium,Medium,Sunset policy,CO3.3,Low
SYS4,Systemic,Network partitioning,Governance splits,Trust fractures,Gov Authority,Low,High,Medium,Interoperability councils,CO6.1,Low
SYS5,Systemic,Legacy credential persistence,Long retention,Attack vectors,Credential Board,Medium,Medium,Medium,Expiry mandates,CO3.3,Low
RT1,Runtime Assurance,Authority projection loss,Semantic authority is flattened during artifact packaging,Delegated effects may be admitted outside legitimate scope,Operator,Medium,Critical,Critical,Authority boundary preservation,CO3.8,Medium
RT2,Runtime Assurance,Evidence tampering or bundle substitution,Evidence set is not digest-bound or reproducible,Assurance decision may rely on altered artifacts,Assessor,Medium,Critical,Critical,Evidence bundle integrity,CO4.6,Medium
RT3,Runtime Assurance,Incomplete runtime decision receipts,Receipts omit policy authority evidence status or effect fields,Auditors cannot replay the decision path,Verifier,Medium,High,High,Decision receipt completeness,CO4.7,Medium
RT4,Runtime Assurance,Stale status reliance,Runtime checks use expired unavailable or unknown status data,Revoked or suspended authority may still produce effects,Operator,Medium,Critical,Critical,Status freshness enforcement,CO6.5,Medium
RT5,Runtime Assurance,Registry publication misread as authorization,Discovery artifacts are treated as authority grants,Published artifacts may be over-relied on without policy checks,Registry Operator,Medium,High,High,Runtime admission control,CO3.7,Medium
