control_objective_id,domain,control_objective_title,ISO/IEC 27001/27002 alignment (themes),NIST CSF alignment (function-level),NIST AI RMF alignment (function-level),OWASP ASVS alignment (section-level),OWASP SAMM alignment (practice-level),SLSA/OpenSSF alignment,Other relevant references,mapping_note
CO1.1,Governance,Governance coherence,Information security policies & governance; Management review / oversight; Roles & responsibilities,"GOVERN (GV): policy, oversight, risk strategy","GOVERN: accountability, policies, oversight",,Governance: Policy & Compliance; Governance: Strategy & Metrics,,,Suggested (non-normative) alignment to support procurement and audit discussions.
CO1.2,Governance,Anti-capture controls,Information security policies & governance; Management review / oversight; Roles & responsibilities,"GOVERN (GV): policy, oversight, risk strategy","GOVERN: accountability, policies, oversight",,Governance: Policy & Compliance; Governance: Strategy & Metrics,,Anti-corruption / ethics controls (org policy),Suggested (non-normative) alignment to support procurement and audit discussions.
CO1.3,Governance,Transparent adjudication,Information security policies & governance; Management review / oversight; Roles & responsibilities,"GOVERN (GV): policy, oversight, risk strategy","GOVERN: accountability, policies, oversight",,Governance: Policy & Compliance; Governance: Strategy & Metrics,,,Suggested (non-normative) alignment to support procurement and audit discussions.
CO1.4,Governance,Change control & versioning,Change management; Configuration management; Documented procedures; Information security policies & governance; Management review / oversight; Roles & responsibilities,"GOVERN (GV): policy, oversight, risk strategy","GOVERN: accountability, policies, oversight",V1 Architecture (design review); V14 Configuration,Governance: Policy & Compliance; Governance: Strategy & Metrics; Operations: Change Management,Change review / provenance expectations (SLSA practices),,Suggested (non-normative) alignment to support procurement and audit discussions.
CO2.1,Security,Access control,Access control; Identity & access management; Segregation of duties; Supplier security,"GOVERN (GV): third-party risk; PROTECT (PR): identity, access, data security",GOVERN: third-party and operational risk management,V14 Configuration; V2 Authentication; V3 Session Management; V4 Access Control,Implementation: Secure Build; Operations: Incident Management,,,Suggested (non-normative) alignment to support procurement and audit discussions.
CO2.2,Security,Access review cadence,Access control; Identity & access management; Segregation of duties; Supplier security,"GOVERN (GV): third-party risk; PROTECT (PR): identity, access, data security",GOVERN: third-party and operational risk management,V14 Configuration; V2 Authentication; V3 Session Management; V4 Access Control,Implementation: Secure Build; Operations: Incident Management,,,Suggested (non-normative) alignment to support procurement and audit discussions.
CO2.3,Security,Separation of duties,Access control; Identity & access management; Segregation of duties; Supplier security,"GOVERN (GV): third-party risk; PROTECT (PR): identity, access, data security",GOVERN: third-party and operational risk management,V14 Configuration; V2 Authentication; V3 Session Management; V4 Access Control,Implementation: Secure Build; Operations: Incident Management,,,Suggested (non-normative) alignment to support procurement and audit discussions.
CO2.4,Security,Supply chain integrity,Access control; Identity & access management; Segregation of duties; Supplier security,"GOVERN (GV): third-party risk; PROTECT (PR): identity, access, data security",GOVERN: third-party and operational risk management,V14 Configuration; V2 Authentication; V3 Session Management; V4 Access Control,Implementation: Secure Build; Operations: Incident Management,SLSA: supply chain integrity / provenance,OpenSSF Scorecard (optional),Suggested (non-normative) alignment to support procurement and audit discussions.
CO3.1,Operational,Identity binding,Asset management (identity artifacts); Cryptography & key mgmt (where applicable); Supplier/registry assurance,IDENTIFY (ID): asset management; PROTECT (PR): IAM,MANAGE: controls for deployment & operation; MAP: context & dependency mapping,V1 Architecture; V2 Authentication; V4 Access Control; V6 Stored Cryptography,Design: Threat Assessment; Operations: Identity & Access Management,,,Suggested (non-normative) alignment to support procurement and audit discussions.
CO3.2,Operational,Delegation constraints,Asset management (identity artifacts); Cryptography & key mgmt (where applicable); Supplier/registry assurance,IDENTIFY (ID): asset management; PROTECT (PR): IAM,MANAGE: controls for deployment & operation; MAP: context & dependency mapping,V1 Architecture; V2 Authentication; V4 Access Control; V6 Stored Cryptography,Design: Threat Assessment; Operations: Identity & Access Management,,,Suggested (non-normative) alignment to support procurement and audit discussions.
