Risk ID,Risk Name,Control Objective ID,Control Objective Description
G1,Policy drift,CO1.1,Governance Coherence & Conformance
G2,Governance capture,CO1.2,Anti-Capture & Multi-stakeholder Controls
G3,Decision latency,CO1.4,Governance Change Control & Versioning
G4,Role ambiguity,CO1.1,Governance Coherence & RACI
G5,Opaque decisions,CO1.3,Transparent Adjudication & Auditability
ID1,Ambiguous identity models,CO3.1,Issuer/Entity Accreditation Controls
ID2,Weak onboarding,CO3.1,Issuer Accreditation & Identity Proofing
ID3,Delegation misconfiguration,CO4.1,Delegation Semantics Enforcement
ID4,Lifecycle mismanagement,CO3.3,Revocation & Lifecycle Controls
ID5,Behavioural opaqueness,CO4.2,Agent Behaviour Controls
S1,Semantic divergence,CO2.1,Schema Integrity & Provenance
S2,Schema collisions,CO2.4,Registry Access & Coordination
S3,Under-specification,CO2.1,Schema Provenance & Integrity
S4,Over-specification,CO1.4,Governance Change Control
S5,Model drift,CO2.1,Schema Integrity & Updates
NM1,Trust graph manipulation,CO4.2,Agent Behaviour Controls
NM2,Organisational misissuance,CO3.1,Issuer Accreditation
NM3,rCard lifecycle failures,CO3.3,Lifecycle & Revocation Controls
NM4,Storage misconfiguration,CO2.3,Cryptographic Hygiene Controls
NM5,Policy drift across communities,CO1.1,Governance Coherence
C1,Credential misissuance,CO3.2,Credential Quality Controls
C2,Misbinding,CO3.2,Credential Binding Controls
C3,Revocation failures,CO3.3,Revocation Status & Governance
C4,Verifier overreach,CO3.4,Verification Policy Enforcement
C5,Protocol downgrade,CO3.4,Verification Protocol Enforcement
CR1,Key leakage,CO2.3,Cryptographic Hygiene & HSM Enforcement
CR2,Weak entropy,CO2.3,Cryptographic Suitability
CR3,Registry poisoning,CO2.1,Registry Integrity
CR4,Side-channel leaks,CO2.3,Cryptographic Controls
CR5,Unbounded registry growth,CO2.2,Ledger/Registry Continuity Controls
AI1,Hallucinated decisions,CO4.2,Agent Behaviour Limits
AI2,Model poisoning,CO4.3,AI Supply Chain Integrity
AI3,Over-autonomy,CO4.4,Autonomous Decision Limits
AI4,Adversarial inputs,CO4.2,Agent Behaviour & Input Validation
AI5,Recursive agent behaviour,CO4.4,Autonomy Limits
EX1,Malicious marketplace inputs,CO4.3,Agent/Model Supply Chain Controls
EX2,Cross-policy incompatibility,CO6.1,Interoperability Controls
EX3,Regulatory volatility,CO1.1,Governance Coherence
EX4,Jurisdiction conflicts,CO1.3,Transparent Adjudication
EX5,Utility failure,CO2.2,Continuity & Redundancy
HX1,Low digital literacy,CO5.2,UX Safety Controls
HX2,Digital exclusion,CO5.2,UX Access Controls
HX3,Cognitive overload,CO5.2,Human Experience Controls
HX4,Consent ambiguity,CO5.1,Consent & Transparency Controls
HX5,Trust graph bias,CO5.3,Anti-Bias Controls
SYS1,Cascading failure,CO6.2,Containment Controls
SYS2,Feedback-loop polarisation,CO6.3,Network Health Monitoring
SYS3,Orphan entities,CO3.3,Lifecycle Controls
SYS4,Network partitioning,CO6.1,Interoperability Controls
SYS5,Legacy credential persistence,CO3.3,Lifecycle & Expiry Controls
