No.,CATEGORY,RISK STATEMENT,RISK DESCRIPTION,Primary Impacted Stakeholder,Family (TBD),ToIP LAYER,TRUST AREAS AFFECTED,SEVERITY,LIKELIHOOD,RISK IMPACT,RISK CONSIDERATION ACTIONS,RISK TREATMENT,RISK TREATMENT ACTIONS,RESIDUAL RISK,NOTES
1,Governance,Policy drift,Cause: Decentralised autonomy | Consequence: Fragmentation,Governing Authority,,,,High,Medium,High,Policy harmonisation,,,Medium,Risk ID: G1 | Source fields: Risk Statement=Policy drift; Cause=Decentralised autonomy; Consequence=Fragmentation; Likelihood=Medium; Impact=High; Inherent Risk=High; Controls=Policy harmonisation; Residual Risk=Medium; Owner=Governing Authority,,,,,,,,,,,,,,
2,Governance,Governance capture,Cause: Power concentration | Consequence: Loss of legitimacy,Admin Authority,,,,Critical,Medium,Critical,Multi-stakeholder checks,,,High,Risk ID: G2 | Source fields: Risk Statement=Governance capture; Cause=Power concentration; Consequence=Loss of legitimacy; Likelihood=Medium; Impact=Critical; Inherent Risk=Critical; Controls=Multi-stakeholder checks; Residual Risk=High; Owner=Admin Authority,,,,,,,,,,,,,,
3,Governance,Decision latency,Cause: Slow processes | Consequence: Operational delays,Gov Council,,,,Medium,Medium,Medium,Time-bound escalation,,,Low,Risk ID: G3 | Source fields: Risk Statement=Decision latency; Cause=Slow processes; Consequence=Operational delays; Likelihood=Medium; Impact=Medium; Inherent Risk=Medium; Controls=Time-bound escalation; Residual Risk=Low; Owner=Gov Council,,,,,,,,,,,,,,
4,Governance,Role ambiguity,Cause: Weak design | Consequence: Accountability gaps,Gov Authority,,,,High,Medium,High,Clear RACI,,,Medium,Risk ID: G4 | Source fields: Risk Statement=Role ambiguity; Cause=Weak design; Consequence=Accountability gaps; Likelihood=Medium; Impact=High; Inherent Risk=High; Controls=Clear RACI; Residual Risk=Medium; Owner=Gov Authority,,,,,,,,,,,,,,
5,Governance,Opaque decisions,Cause: Poor logging | Consequence: Regulatory risk,Admin Authority,,,,High,Medium,High,Transparent logs,,,Medium,Risk ID: G5 | Source fields: Risk Statement=Opaque decisions; Cause=Poor logging; Consequence=Regulatory risk; Likelihood=Medium; Impact=High; Inherent Risk=High; Controls=Transparent logs; Residual Risk=Medium; Owner=Admin Authority,,,,,,,,,,,,,,
6,Identity,Ambiguous identity models,Cause: Lack of definitions | Consequence: Inconsistency,DTGWG,,,,High,Medium,High,Normative profiles,,,Medium,Risk ID: ID1 | Source fields: Risk Statement=Ambiguous identity models; Cause=Lack of definitions; Consequence=Inconsistency; Likelihood=Medium; Impact=High; Inherent Risk=High; Controls=Normative profiles; Residual Risk=Medium; Owner=DTGWG,,,,,,,,,,,,,,
7,Identity,Weak onboarding,Cause: Poor KYC/KYB | Consequence: Fraud risk,Entity Admin,,,,High,High,Critical,Strong verification,,,Medium,Risk ID: ID2 | Source fields: Risk Statement=Weak onboarding; Cause=Poor KYC/KYB; Consequence=Fraud risk; Likelihood=High; Impact=High; Inherent Risk=Critical; Controls=Strong verification; Residual Risk=Medium; Owner=Entity Admin,,,,,,,,,,,,,,
8,Identity,Delegation misconfig,Cause: Ambiguous policy | Consequence: Rogue agent actions,Network Managers,,,,Critical,High,Critical,Delegation registry,,,High,Risk ID: ID3 | Source fields: Risk Statement=Delegation misconfig; Cause=Ambiguous policy; Consequence=Rogue agent actions; Likelihood=High; Impact=Critical; Inherent Risk=Critical; Controls=Delegation registry; Residual Risk=High; Owner=Network Managers,,,,,,,,,,,,,,
9,Identity,Lifecycle mismanagement,Cause: Missing deactivation | Consequence: Ghost identities,Identity Admin,,,,Medium,Medium,Medium,Lifecycle governance,,,Low,Risk ID: ID4 | Source fields: Risk Statement=Lifecycle mismanagement; Cause=Missing deactivation; Consequence=Ghost identities; Likelihood=Medium; Impact=Medium; Inherent Risk=Medium; Controls=Lifecycle governance; Residual Risk=Low; Owner=Identity Admin,,,,,,,,,,,,,,
10,Identity,Behavioural opaqueness,Cause: AI nondeterminism | Consequence: Misleading decisions,AI Providers,,,,High,Medium,High,Interpretability tooling,,,Medium,Risk ID: ID5 | Source fields: Risk Statement=Behavioural opaqueness; Cause=AI nondeterminism; Consequence=Misleading decisions; Likelihood=Medium; Impact=High; Inherent Risk=High; Controls=Interpretability tooling; Residual Risk=Medium; Owner=AI Providers,,,,,,,,,,,,,,
11,Schemas,Semantic divergence,Cause: Flexible schema | Consequence: Interop failure,DTGWG,,,,High,High,Critical,Canonical registry,,,Medium,Risk ID: S1 | Source fields: Risk Statement=Semantic divergence; Cause=Flexible schema; Consequence=Interop failure; Likelihood=High; Impact=High; Inherent Risk=Critical; Controls=Canonical registry; Residual Risk=Medium; Owner=DTGWG,,,,,,,,,,,,,,
